3364,R233,SÉVIGNÉ (de) Mme,Correspondance : t. 3 : 1680-1696,1,1696,Ecrits non fictionnels,,non renseigné,,femme,"ni voulu vous rendre . Il avait un air et une manière qui paraient la cour . Quand la mode viendrait de faire des parallèles dans les oraisons funèbres , je n' en souffrirai jamais dans la sienne , car il était assurément unique en son espèce , et un grand original sans copie . Nous avons lu avec",douleur,"ce que vous avez écrit au roi . En voulant le toucher , vous nous avez pénétrés : ce n' était pas à moi que vous visiez . Plût à dieu que cette lettre eût fait l' effet qu' elle doit faire ! Ce que vous lui représentez en est bien digne . Il y a des endroits touchants et des tours pour le porter à"
21764,M322,DU CAMP Maxime,Mémoires d'un suicidé,1,1853,Ecrits fictionnels,,non renseigné,,homme,"la douleur de ce vide que la mort a fait autour de moi , je descendais de mon cheval sur les grandes routes , et je l' embrassais en pleurant , et lui parlais comme s' il avait pu me comprendre . Au reste , connaissons -nous les mystères de Dieu et savons -nous si les animaux ne compatissent pas à nos",douleurs,"et à nos joies ! Je souffrais de cet abandon et j' enviais ces idiots qui , restés enfants jusque dans leur vieillesse , ne connaissent de nos souffrances que le froid et la faim ; j' enviais ceux qui aiment , j' enviais ceux qui croient ; comme René , j' enviais ceux qui ont pour occuper leurs"
28491,L522,BLOY Léon,La Femme pauvre,1,1897,Ecrits fictionnels,,non renseigné,,homme,", comme tu parais abattu ! On pourrait croire , en effet , qu' elle tient dans ses bras un fantôme . Ce n' est plus le flibustier , le condottière terrible , le fascinateur à la bouche close qui faisait trembler . Tout cela est loin . Quelque chose de très puissant a dompté ce fauve . C' est la",douleur,", sans doute , une certaine douleur . Seulement il a fallu que ce breuvage , que ce philtre lui fût présenté par l' enchanteresse miséricordieuse dont il est devenu captif . Au contraire de Clotilde , il a beaucoup vieilli , bien qu' il ait à peine quarante ans . Sa tête est devenue grise et ses"
30644,R601,BOURGET Paul,Lazarine,1,1917,Ecrits fictionnels,,non renseigné,,homme,", mon général , pour votre soldat de la Marne et de la Champagne . Remarquez . Ce n' est qu' un délai de quelques jours . Avant une semaine , je serai loin d' ici . Vous écrirez alors au colonel émery . Ne me dites pas qu' à cause de ma résistance à vous obéir sur ce point vous ne me reverrez plus . La",douleur,"que j' ai éprouvée à lire votre lettre n' a pas tenu seulement au drame moral de ma situation , soudain évoqué devant moi . La crainte de perdre à jamais votre estime m' a été une plaie dans cette plaie . Je l' avais reconquise , cette estime , une première fois . Je ferai tout pour la"
38648,E277,SARTRE Jean-Paul,Paul Nizan [Portrait],2,1961,Ecrits non fictionnels,Ouvrage [texte imprimé],littérature,Textes d'auteurs français,homme,".   » Mme Nizan menaça de lui couper les vivres et le projet fut abandonné : mais il avait suffi d' un instant pour me faire entrevoir derrière cet « enfantillage » l' impatience d' un malade qui se tourne et se retourne pour échapper à la douleur . Je ne voulais pas , moi , qu' il eût cette",douleur,"inaccessible : nous avions en commun des mélancolies de surface , cela suffisait pour le reste , j' essayais de lui imposer mon optimisme . Je lui répétais que nous étions libres : il ne répondait pas , mais son mince sourire de coin en disait long . D' autres fois , il se disait matérialiste -"
5117,N944,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 2",1,1731,Ecrits fictionnels,Ouvrage [texte imprimé],littérature,Textes d'auteurs français,homme,"de la grossesse d' Angélique étant arrivé , elle mit au monde le fruit de notre amour . Malheureux pere ! Hélas ! J' étois alors languissant dans ma prison , et accablé sous le poids de mes chaînes ; j' ignorois jusqu' à la captivité de mon épouse . à peine fut -elle hors de ses premieres",douleurs,", que le ministre , qui croyoit n' avoir plus rien à ménager , fit assembler le consistoire pour presser l' execution de leurs premieres délibérations . J' ai déjà dit que la grossesse de mon épouse avoit servi de prétexte pour la retarder . Les sentimens des anciens se trouverent les"
40702,R299,OLDENBOURG Zoé,Visages d'un autoportrait,2,1977,Ecrits non fictionnels,Ouvrage [texte imprimé],littérature,Textes d'auteurs francophones,femme,"de service , sur le pas de la porte , répondait qu' elle n' y pouvait rien et finit par dire : «  Je vais vous l' apporter .   » Elle revint , portant dans ses bras une jolie bête , un «  loulou  » au poil roux , et le posa dans l' herbe aux pieds de la jeune fille ; il avait le ventre ouvert , et se tordait de",douleur,"en poussant de petits jappements aigus . La jeune fille , je la vois encore , une fille blonde , à cheveux lisses , vêtue d' un assez élégant tailleur bleu roi ; elle regardait la bête , le visage tout tremblant et crispé , comme si elle allait se mettre à pleurer ; elle dit d' une voix incertaine"
1875,R222,SÉVIGNÉ (de) Mme,Correspondance : t. 1 : 1646-1675,1,1675,Ecrits non fictionnels,,non renseigné,,femme,ne demanderais pas mieux . Je me trouve dans un engagement qui m' embarrasse ; je suis embarquée dans la vie sans mon consentement . Il faut que j' en sorte ; cela m' assomme . Et comment en sortirai -je ? Par où ? Par quelle porte ? Quand sera -ce ? En quelle disposition ? Souffrirai -je mille et mille,douleurs,", qui me feront mourir désespérée ? Aurai -je un transport au cerveau ? Mourrai -je d' un accident ? Comment serai -je avec Dieu ? Qu' aurai -je à lui présenter ? La crainte , la nécessité , feront -elles mon retour vers lui ? N' aurai -je aucun autre sentiment que celui de la peur ? Que puis -je"
21295,S625,FLAUBERT Gustave,La Tentation de saint Antoine. [version de 1849],1,1849,Ecrits fictionnels,,non renseigné,,homme,", l' urne suspendue éclaire la blancheur de son flanc nu et balance sur lui des ombres douces ; ces seins , où repose l' amour , ce ventre lisse , ce dos ployant , tout ce corps si beau , il se tordra dans le cilice raide qui , plus immobile que ton visage , ô solitaire ! ne montre pas non plus les",douleurs,"qu' il recouvre ... Mais elle n' ose encore , elle frémit , elle prend la chaînette d' or à pointes crochues , elle la fait tourner sur son pouce , le sang part , il voltige en pluie légère et des gouttes épaisses coulent sur sa poitrine , comme des perles rouges ; ses genoux s' entrechoquent , ses"
16148,M595,HUGO Victor,Notre-Dame de Paris : 1482,1,1832,Ecrits fictionnels,,non renseigné,,homme,"voilà son soulier , et que c' est tout ! La malheureuse s' était jetée sur ce soulier , sa consolation et son désespoir depuis tant d' années , et ses entrailles se déchiraient en sanglots comme le premier jour . Car pour une mère qui a perdu son enfant , c' est toujours le premier jour . Cette",douleur,"-là ne vieillit pas . Les habits de deuil ont beau s' user et blanchir : le coeur reste noir . En ce moment , de fraîches et joyeuses voix d' enfants passèrent devant la cellule . Toutes les fois que des enfants frappaient sa vue ou son oreille , la pauvre mère se précipitait dans l' angle le plus"
